Category,State/UT,House wife_Male,House wife_Female,House wife_Trans,House wife_Total,Professionals/Salaried Persons (Total)_Male,Professionals/Salaried Persons (Total)_Female,Professionals/Salaried Persons (Total)_Trans,Professionals/Salaried Persons (Total)_Total,Professionals/Salaried Persons [Government Servants (Total)]_Male,Professionals/Salaried Persons [Government Servants (Total)]_Female,Professionals/Salaried Persons [Government Servants (Total)]_Trans,Professionals/Salaried Persons [Government Servants (Total)]_Total,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Male,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Female,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Trans,Professionals/Salaried Persons [Government Servants(Central/ UT Govt. Servants)]_Total,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Male,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Female,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Trans,Professionals/Salaried Persons [Government Servants(State  Govt. Servants)]_Total,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Male,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Female,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Trans,Professionals/Salaried Persons [Government Servants (Other Statutory Body/etc.)]_Total,Professionals/Salaried Persons  (Private Sector Enterprises)_Male,Professionals/Salaried Persons  (Private Sector Enterprises)_Female,Professionals/Salaried Persons  (Private Sector Enterprises)_Trans,Professionals/Salaried Persons  (Private Sector Enterprises)_Total,Professionals/Salaried Persons (Public Sector Undertaking)_Male,Professionals/Salaried Persons (Public Sector Undertaking)_Female,Professionals/Salaried Persons (Public Sector Undertaking)_Trans,Professionals/Salaried Persons (Public Sector Undertaking)_Total,Students_Male,Students_Female,Students_Trans,Students_Total,Unemployed Persons_Male,Unemployed Persons_Female,Unemployed Persons_Trans,Unemployed Persons_Total,Self-employed Persons(Total)_Male,Self-employed Persons(Total)_Female,Self-employed Persons(Total)_Trans,Self-employed Persons(Total)_Total,Self-employed Persons [Business (Total)]_Male,Self-employed Persons [Business (Total)]_Female,Self-employed Persons [Business (Total)]_Trans,Self-employed Persons [Business (Total)]_Total,Self-employed Persons [Business(Vendor)]_Male,Self-employed Persons [Business(Vendor)]_Female,Self-employed Persons [Business(Vendor)]_Trans,Self-employed Persons [Business(Vendor)]_Total,Self-employed Persons [Business(Tradesmen)]_Male,Self-employed Persons [Business(Tradesmen)]_Female,Self-employed Persons [Business(Tradesmen)]_Trans,Self-employed Persons [Business(Tradesmen)]_Total,Self-employed Persons [Business(Other Business)]_Male,Self-employed Persons [Business(Other Business)]_Female,Self-employed Persons [Business(Other Business)]_Trans,Self-employed Persons [Business(Other Business)]_Total,Other Self-employed Persons_Male,Other Self-employed Persons_Female,Other Self-employed Persons_Trans,Other Self-employed Persons_Total,Persons Engaged in Farming Sector (Total)_Male,Persons Engaged in Farming Sector (Total)_Female,Persons Engaged in Farming Sector (Total)_Trans,Persons Engaged in Farming Sector (Total)_Total,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Male,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Female,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Trans,Persons Engaged in Farming Sector [Farmers/Cultivators (Total)]_Total,Farmers/Cultivators (Who Cultivate Their Own Land*)_Male,Farmers/Cultivators (Who Cultivate Their Own Land*)_Female,Farmers/Cultivators (Who Cultivate Their Own Land*)_Trans,Farmers/Cultivators (Who Cultivate Their Own Land*)_Total,Farmers/Cultivators (Who Cultivate On Lease Land#)_Male,Farmers/Cultivators (Who Cultivate On Lease Land#)_Female,Farmers/Cultivators (Who Cultivate On Lease Land#)_Trans,Farmers/Cultivators (Who Cultivate On Lease Land#)_Total,Persons engaged in Farming Sector (Agricultural Laborers)_Male,Persons engaged in Farming Sector (Agricultural Laborers)_Female,Persons engaged in Farming Sector (Agricultural Laborers)_Trans,Persons engaged in Farming Sector (Agricultural Laborers)_Total,Daily Wage Earner_Male,Daily Wage Earner_Female,Daily Wage Earner_Trans,Daily Wage Earner_Total,Retired Persons_Male,Retired Persons_Female,Retired Persons_Trans,Retired Persons_Total,Other Persons_Male,Other Persons_Female,Other Persons_Trans,Other Persons_Total,Total_Male,Total_Female,Total_Trans,Total_Total
State,PUNJAB,0,373,0,373,224,34,0,258,40,4,0,44,16,1,0,17,23,3,0,26,1,0,0,1,114,21,0,135,70,9,0,79,74,47,0,121,265,43,0,308,243,2,0,245,145,1,0,146,75,1,0,76,48,0,0,48,22,0,0,22,98,1,0,99,280,22,0,302,223,16,0,239,191,12,0,203,32,4,0,36,57,6,0,63,578,7,0,585,20,1,0,21,133,10,1,144,1817,539,1,2357
State,RAJASTHAN,0,641,0,641,406,73,0,479,139,27,0,166,30,7,0,37,58,11,0,69,51,9,0,60,203,28,0,231,64,18,0,82,297,172,0,469,509,77,0,586,879,103,0,982,438,50,0,488,170,19,0,189,99,10,0,109,169,21,0,190,441,53,0,494,25,1,0,26,2,0,0,2,2,0,0,2,0,0,0,0,23,1,0,24,986,76,0,1062,33,2,0,35,167,84,0,251,3302,1229,0,4531
State,SIKKIM,0,27,0,27,19,1,0,20,11,1,0,12,0,0,0,0,11,1,0,12,0,0,0,0,7,0,0,7,1,0,0,1,21,11,0,32,58,14,0,72,23,2,0,25,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,21,2,0,23,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,29,2,0,31,4,1,0,5,6,0,0,6,162,58,0,220
State,TAMIL NADU,0,2025,0,2025,1402,206,0,1608,157,43,0,200,27,9,0,36,110,32,0,142,20,2,0,22,1088,149,0,1237,157,14,0,171,438,476,0,914,988,377,3,1368,1392,224,1,1617,871,189,1,1061,522,143,0,665,181,25,1,207,168,21,0,189,521,35,0,556,294,133,0,427,4,2,0,6,4,2,0,6,0,0,0,0,290,131,0,421,4506,678,2,5186,42,26,0,68,173,105,2,280,9235,4250,8,13493
State,TELANGANA,0,659,0,659,428,104,0,532,94,3,0,97,10,0,0,10,51,3,0,54,33,0,0,33,201,64,0,265,133,37,0,170,249,177,0,426,91,21,0,112,711,206,1,918,583,104,0,687,192,32,0,224,97,13,0,110,294,59,0,353,128,102,1,231,442,57,0,499,434,57,0,491,332,41,0,373,102,16,0,118,8,0,0,8,2300,558,0,2858,12,1,0,13,1379,279,0,1658,5612,2062,1,7675
State,TRIPURA,0,109,0,109,43,16,0,59,29,13,0,42,14,7,0,21,5,1,0,6,10,5,0,15,12,3,0,15,2,0,0,2,44,46,0,90,26,17,0,43,119,30,0,149,70,18,0,88,20,0,0,20,15,6,0,21,35,12,0,47,49,12,0,61,34,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,38,208,10,0,218,11,0,0,11,11,0,0,11,496,232,0,728
State,UTTAR PRADESH,0,1586,0,1586,350,53,0,403,52,10,0,62,9,0,0,9,23,4,0,27,20,6,0,26,195,28,0,223,103,15,0,118,323,280,0,603,673,139,0,812,581,18,0,599,359,4,0,363,79,4,0,83,193,0,0,193,87,0,0,87,222,14,0,236,226,35,0,261,83,25,0,108,67,25,0,92,16,0,0,16,143,10,0,153,823,36,0,859,5,0,0,5,252,84,0,336,3233,2231,0,5464
State,UTTARAKHAND,0,149,0,149,64,1,0,65,10,0,0,10,1,0,0,1,9,0,0,9,0,0,0,0,47,1,0,48,7,0,0,7,33,21,0,54,80,3,0,83,107,0,0,107,107,0,0,107,33,0,0,33,74,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,0,44,13,0,0,13,0,1,0,1,335,181,0,516
State,WEST BENGAL,0,1931,0,1931,705,198,0,903,67,26,0,93,3,1,0,4,11,3,0,14,53,22,0,75,354,93,0,447,284,79,0,363,188,233,0,421,349,183,0,532,1138,61,0,1199,694,44,0,738,128,15,0,143,133,3,0,136,433,26,0,459,444,17,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,113,0,1002,17,1,0,18,4483,2176,0,6659,7769,4896,0,12665
State,TOTAL (STATES),0,20983,0,20983,10839,1460,0,12299,1397,243,0,1640,232,45,0,277,827,131,0,958,338,67,0,405,7500,904,0,8404,1942,313,0,2255,5373,4605,1,9979,10940,2265,4,13209,14036,1750,2,15788,8363,573,1,8937,3014,285,0,3299,2791,106,1,2898,2558,182,0,2740,5673,1177,1,6851,9300,969,0,10269,5551,394,0,5945,4790,328,0,5118,761,66,0,827,3749,575,0,4324,28836,3411,4,32251,1158,124,0,1282,14701,4884,6,19591,95183,40451,17,135651
UT,A & NISLANDS,0,35,0,35,86,4,0,90,11,2,0,13,11,2,0,13,0,0,0,0,0,0,0,0,75,2,0,77,0,0,0,0,2,5,0,7,7,2,0,9,10,1,0,11,6,1,0,7,3,0,0,3,3,1,0,4,0,0,0,0,4,0,0,4,5,0,0,5,5,0,0,5,4,0,0,4,1,0,0,1,0,0,0,0,8,1,0,9,3,1,0,4,9,2,0,11,130,51,0,181
UT,CHANDIGARH,0,18,0,18,48,5,0,53,7,0,0,7,3,0,0,3,4,0,0,4,0,0,0,0,32,2,0,34,9,3,0,12,10,10,0,20,19,4,0,23,10,0,0,10,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,0,0,0,0,0,0,93,38,0,131
UT,D & N HAVELI,0,7,0,7,26,3,0,29,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,18,3,0,21,6,0,0,6,13,10,0,23,2,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,0,7,7,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,13,1,0,14,1,0,0,1,6,2,0,8,72,23,0,95
UT,DAMAN & DIU,0,11,0,11,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,1,0,0,1,4,6,0,10,2,0,0,2,6,0,0,6,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,17,0,46
UT,DELHI (UT),0,305,0,305,207,31,0,238,11,11,0,22,6,6,0,12,4,2,0,6,1,3,0,4,159,20,0,179,37,0,0,37,114,104,0,218,540,137,0,677,253,26,0,279,103,0,0,103,49,0,0,49,3,0,0,3,51,0,0,51,150,26,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,44,0,247,14,0,0,14,427,121,0,548,1758,768,0,2526
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,32,0,78,89,8,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,35,0,0,0,0,187,96,0,283,348,145,0,493
UT,TOTAL (UTs),0,376,0,376,383,43,0,426,31,13,0,44,22,8,0,30,8,2,0,10,1,3,0,4,299,27,0,326,53,3,0,56,189,167,0,356,659,151,0,810,283,27,0,310,114,1,0,115,52,0,0,52,7,1,0,8,55,0,0,55,169,26,0,195,12,0,0,12,12,0,0,12,11,0,0,11,1,0,0,1,0,0,0,0,256,56,0,312,19,1,0,20,629,221,0,850,2430,1042,0,3472
TOTAL (ALL INDIA),TOTAL (ALL INDIA),0,21359,0,21359,11222,1503,0,12725,1428,256,0,1684,254,53,0,307,835,133,0,968,339,70,0,409,7799,931,0,8730,1995,316,0,2311,5562,4772,1,10335,11599,2416,4,14019,14319,1777,2,16098,8477,574,1,9052,3066,285,0,3351,2798,107,1,2906,2613,182,0,2795,5842,1203,1,7046,9312,969,0,10281,5563,394,0,5957,4801,328,0,5129,762,66,0,828,3749,575,0,4324,29092,3467,4,32563,1177,125,0,1302,15330,5105,6,20441,97613,41493,17,139123
