Unnamed: 0.1,Age-standardized suicide rates (per 100 000 population),Age-standardized suicide rates (per 100 000 population).1,Age-standardized suicide rates (per 100 000 population).2,Age-standardized suicide rates (per 100 000 population).3,Age-standardized suicide rates (per 100 000 population).4,Age-standardized suicide rates (per 100 000 population).5,Age-standardized suicide rates (per 100 000 population).6,Age-standardized suicide rates (per 100 000 population).7,Age-standardized suicide rates (per 100 000 population).8,Age-standardized suicide rates (per 100 000 population).9,Age-standardized suicide rates (per 100 000 population).10,Age-standardized suicide rates (per 100 000 population).11,Age-standardized suicide rates (per 100 000 population).12,Age-standardized suicide rates (per 100 000 population).13,Age-standardized suicide rates (per 100 000 population).14,Age-standardized suicide rates (per 100 000 population).15,Age-standardized suicide rates (per 100 000 population).16,Age-standardized suicide rates (per 100 000 population).17,Age-standardized suicide rates (per 100 000 population).18,Age-standardized suicide rates (per 100 000 population).19,Age-standardized suicide rates (per 100 000 population).20,Age-standardized suicide rates (per 100 000 population).21,Age-standardized suicide rates (per 100 000 population).22,Age-standardized suicide rates (per 100 000 population).23,Age-standardized suicide rates (per 100 000 population).24,Age-standardized suicide rates (per 100 000 population).25,Age-standardized suicide rates (per 100 000 population).26,Age-standardized suicide rates (per 100 000 population).27,Age-standardized suicide rates (per 100 000 population).28,Age-standardized suicide rates (per 100 000 population).29,Age-standardized suicide rates (per 100 000 population).30,Age-standardized suicide rates (per 100 000 population).31,Age-standardized suicide rates (per 100 000 population).32,Age-standardized suicide rates (per 100 000 population).33,Age-standardized suicide rates (per 100 000 population).34,Age-standardized suicide rates (per 100 000 population).35,Age-standardized suicide rates (per 100 000 population).36,Age-standardized suicide rates (per 100 000 population).37,Age-standardized suicide rates (per 100 000 population).38,Age-standardized suicide rates (per 100 000 population).39,Age-standardized suicide rates (per 100 000 population).40,Age-standardized suicide rates (per 100 000 population).41,Age-standardized suicide rates (per 100 000 population).42,Age-standardized suicide rates (per 100 000 population).43,Age-standardized suicide rates (per 100 000 population).44,Age-standardized suicide rates (per 100 000 population).45,Age-standardized suicide rates (per 100 000 population).46,Age-standardized suicide rates (per 100 000 population).47,Age-standardized suicide rates (per 100 000 population).48,Age-standardized suicide rates (per 100 000 population).49,Age-standardized suicide rates (per 100 000 population).50,Age-standardized suicide rates (per 100 000 population).51,Age-standardized suicide rates (per 100 000 population).52,Age-standardized suicide rates (per 100 000 population).53,Age-standardized suicide rates (per 100 000 population).54,Age-standardized suicide rates (per 100 000 population).55,Age-standardized suicide rates (per 100 000 population).56,Age-standardized suicide rates (per 100 000 population).57,Age-standardized suicide rates (per 100 000 population).58,Age-standardized suicide rates (per 100 000 population).59
 ,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Global Average,10.09,16.14,4.54,10.25,16.43,4.58,10.43,16.74,4.66,10.68,17.12,4.80,10.99,17.56,5.01,11.23,17.96,5.10,11.42,18.28,5.18,11.63,18.61,5.28,11.68,18.68,5.34,11.88,18.98,5.45,12.08,19.27,5.58,12.07,19.18,5.64,12.02,19.09,5.62,12.16,19.32,5.69,12.38,19.68,5.80,12.42,19.78,5.79,12.59,20.04,5.86,12.79,20.38,5.94,12.94,20.62,5.99,13.23,21.04,6.18
