Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population,Suicide per 100000 population
2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
12.9,12.9,12.5,12.6,12.9,13.5,14.4,15.1,15.5,15.6,15.6,16.3,16.7,17.1,17,16.8,17.3,18.2,18.7,19.1
